ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp.x,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,SpfKoC4M1,SpfKoC4M2,SpfKoC4M5,SpfKoC5M1,SpfKoC5M3,SpfKoC5M4,AvgWT,AvgKO,KO.WT,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_100008,chr10,93498873,127,1,NM_053072,Fgd6,93498746,93608084,+,-68028,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-431,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0,0,0,0,0,0.15,0.51,0.13,0.37,0.18,0,0.49,0.025,0.28,0.255,0.016310161,1.787541752,0,1
SmaI_mm9_100009,chr10,93499189,443,1,NM_053072,Fgd6,93498746,93608084,+,-68344,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-115,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0,0,0,0.17,0,0,0.19,0.14,0.21,0.39,0.18,0.17,0.028333333,0.213333333,0.185,0.002524007,2.597909445,0,1
SmaI_mm9_100014,chr10,93527398,28652,0,NM_053072,Fgd6,93498746,93608084,+,-80686,NM_053072,Fgd6,93498746,93608084,+,N,Lx9,LINE,L1,28094,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,21.24,26.62,35.52,33.98,25.04,20.67,44.11,46.83,42.79,27.73,44.01,52.86,27.17833333,43.055,15.87666667,0.003958299,2.402491403,0,1
SmaI_mm9_100053,chr10,93977602,0,1,NM_172051,Tmcc3,93977602,94053699,+,-76097,NM_172051,Tmcc3,93977602,94053699,+,Y,N,N,N,160,CpG_Start,CpG: 102,chr10,93977442,93978283,74.6,0.87,0.29,0,0,0,0,0,0,0,0.85,0,NA,0,0.048333333,0.17,0.121666667,0.473116377,0.325032019,0,0
SmaI_mm9_100054,chr10,93977989,387,1,NM_172051,Tmcc3,93977602,94053699,+,-75710,NM_172051,Tmcc3,93977602,94053699,+,Y,N,N,N,-294,CpG_End,CpG: 102,chr10,93977442,93978283,74.6,0.87,0,0,0,0,0,0.66,0.65,0,0,0,0.96,0.55,0.11,0.36,0.25,0.245538858,0.609879768,0,1
SmaI_mm9_100069,chr10,94151198,160,1,NR_015524,4932415G12Rik,94151358,94136238,-,-14960,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,156,CpG_Start,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0,0,0,0,0,0.41,0.58,0.74,0.69,0.1,0.67,0,0.531666667,0.531666667,0.000302496,3.519280364,0,1
SmaI_mm9_100070,chr10,94151528,-7,1,NM_029852,Ccdc41,94151535,94253081,+,-15290,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,-343,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0.05,0.07,0,0,0,0.32,0.35,0.44,0.25,0.25,0.07,0.02,0.28,0.26,0.000584522,3.233199138,0,0
SmaI_mm9_100071,chr10,94151871,336,1,NM_029852,Ccdc41,94151535,94253081,+,-15633,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,0,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0.25,0.17,0,0,0.13,1.19,0.63,0.94,0.44,0.54,0.4,0.091666667,0.69,0.598333333,0.001240846,2.906282115,0,1
SmaI_mm9_100089,chr10,94405899,1313,0,NM_018797,Plxnc1,94407212,94253612,-,-152287,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-336,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,1.35,0,0,0,NA,0,0.6,0.8,0.27,0,0.4,0,0.27,0.345,0.075,0.797513445,0.098261987,1,1
SmaI_mm9_100090,chr10,94406136,1076,0,NM_018797,Plxnc1,94407212,94253612,-,-152524,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-99,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,0,0.57,1.49,0.67,NA,0,2.05,1.12,2.88,2.17,1.1,1.18,0.546,1.75,1.204,0.017204968,1.764346131,1,1
SmaI_mm9_100109,chr10,94453729,-46517,0,NM_018797,Plxnc1,94407212,94253612,-,183651,NM_009950,Cradd,94786731,94637380,-,N,MLT1E3,LTR,MaLR,45529,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,5.95,10,9.09,12.88,6.91,8.69,23.09,17.01,14.82,12.64,24.55,27.9,8.92,20.00166667,11.08166667,0.001933872,2.713572275,0,0
SmaI_mm9_100110,chr10,94453970,-46758,0,NM_018797,Plxnc1,94407212,94253612,-,183410,NM_009950,Cradd,94786731,94637380,-,N,N,N,N,45770,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,0.95,0.41,0.29,0.88,0,0.42,2.38,1.53,2.31,1.19,1.04,1.93,0.491666667,1.73,1.238333333,0.00112548,2.948662218,0,0
SmaI_mm9_100147,chr10,94878734,112,1,NM_001168655,Socs2,94878846,94874124,-,-4610,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-995,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0.3,0,0.36,0.71,0,0,0.58,1.18,0.39,1,0,0.228333333,0.525,0.296666667,0.232975268,0.63269018,0,1
