ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,SPFC1M1,SPFC1M2,SPFC2M1,SPFC2M2,SPFC3M1,SPFC3M2,AvgWT,SpfKoC4M1,SpfKoC4M2,SpfKoC4M5,SpfKoC5M1,SpfKoC5M3,SpfKoC5M4,AvgKO,KO.WT,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_100008,chr10,93498873,127,1,NM_053072,Fgd6,93498746,93608084,+,-68028,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-431,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0.15,0,0.16,0,0,0.13,0.073333333,0.51,0.13,0.37,0.18,0,0.49,0.28,0.206666667,0.04659615,1.33164997,0,1
SmaI_mm9_100009,chr10,93499189,443,1,NM_053072,Fgd6,93498746,93608084,+,-68344,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-115,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0.16,0,0,0.17,0.21,0,0.09,0.19,0.14,0.21,0.39,0.18,0.17,0.213333333,0.123333333,0.04817293,1.317196941,0,1
SmaI_mm9_100014,chr10,93527398,28652,0,NM_053072,Fgd6,93498746,93608084,+,-80686,NM_053072,Fgd6,93498746,93608084,+,N,Lx9,LINE,L1,28094,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,40.45,23.22,43.9,32.9,38.2,29.47,34.69,44.11,46.83,42.79,27.73,44.01,52.86,43.055,8.365,0.100151047,0.999344508,0,1
SmaI_mm9_100053,chr10,93977602,0,1,NM_172051,Tmcc3,93977602,94053699,+,-76097,NM_172051,Tmcc3,93977602,94053699,+,Y,N,N,N,160,CpG_Start,CpG: 102,chr10,93977442,93978283,74.6,0.87,0,0,0,0,0,0,0,0,0,0.85,0,NA,0,0.17,0.17,0.296665037,0.527733634,0,0
SmaI_mm9_100054,chr10,93977989,387,1,NM_172051,Tmcc3,93977602,94053699,+,-75710,NM_172051,Tmcc3,93977602,94053699,+,Y,N,N,N,-294,CpG_End,CpG: 102,chr10,93977442,93978283,74.6,0.87,0.43,0.31,0,0,0.5,0,0.206666667,0.65,0,0,0,0.96,0.55,0.36,0.153333333,0.450483361,0.346321246,0,1
SmaI_mm9_100069,chr10,94151198,160,1,NR_015524,4932415G12Rik,94151358,94136238,-,-14960,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,156,CpG_Start,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0,0,0,0,0.08,0.013333333,0.41,0.58,0.74,0.69,0.1,0.67,0.531666667,0.518333334,0.000392941,3.405672788,0,1
SmaI_mm9_100070,chr10,94151528,-7,1,NM_029852,Ccdc41,94151535,94253081,+,-15290,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,-343,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0.06,0,0,0,0,0,0.01,0.32,0.35,0.44,0.25,0.25,0.07,0.28,0.27,0.000403535,3.394119164,0,0
SmaI_mm9_100071,chr10,94151871,336,1,NM_029852,Ccdc41,94151535,94253081,+,-15633,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,0,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0,0,0.14,0.17,0,0.051666667,1.19,0.63,0.94,0.44,0.54,0.4,0.69,0.638333333,0.00066208,3.179089433,0,1
SmaI_mm9_100089,chr10,94405899,1313,0,NM_018797,Plxnc1,94407212,94253612,-,-152287,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-336,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,0,0,0,0,0,0.42,0.07,0.6,0.8,0.27,0,0.4,0,0.345,0.275,0.094659714,1.023834813,1,1
SmaI_mm9_100090,chr10,94406136,1076,0,NM_018797,Plxnc1,94407212,94253612,-,-152524,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-99,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,1.98,0.83,0.97,2.14,1.56,0.76,1.373333333,2.05,1.12,2.88,2.17,1.1,1.18,1.75,0.376666667,0.354344293,0.450574557,1,1
