ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,AvgWT,GfKoC1M1,GfKoC1M2,GfKoC1M3,GfKoC4F1,GfKoC4F2,GfKoC4F3,AvgKO,KO.WT,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_100008,chr10,93498873,127,1,NM_053072,Fgd6,93498746,93608084,+,-68028,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-431,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0,0,0,0,0,0.15,0.025,0.87,0.41,0.14,0.43,0.5,0.45,0.466666667,0.441666667,0.001214482,2.915608975,0,1
SmaI_mm9_100009,chr10,93499189,443,1,NM_053072,Fgd6,93498746,93608084,+,-68344,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-115,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0,0,0,0.17,0,0,0.028333333,0,0.15,0.16,0,0,0.14,0.075,0.046666667,0.313628448,0.503584551,0,1
SmaI_mm9_100014,chr10,93527398,28652,0,NM_053072,Fgd6,93498746,93608084,+,-80686,NM_053072,Fgd6,93498746,93608084,+,N,Lx9,LINE,L1,28094,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,21.24,26.62,35.52,33.98,25.04,20.67,27.17833333,76.74,25.29,68.72,24.82,20.7,27.01,40.54666667,13.36833333,0.235130852,0.628690383,0,1
SmaI_mm9_100053,chr10,93977602,0,1,NM_172051,Tmcc3,93977602,94053699,+,-76097,NM_172051,Tmcc3,93977602,94053699,+,Y,N,N,N,160,CpG_Start,CpG: 102,chr10,93977442,93978283,74.6,0.87,0.29,0,0,0,0,0,0.048333333,0,0,0,0.37,0,0,0.061666667,0.013333333,0.868266704,0.061346853,0,0
SmaI_mm9_100054,chr10,93977989,387,1,NM_172051,Tmcc3,93977602,94053699,+,-75710,NM_172051,Tmcc3,93977602,94053699,+,Y,N,N,N,-294,CpG_End,CpG: 102,chr10,93977442,93978283,74.6,0.87,0,0,0,0,0,0.66,0.11,1.1,0,0.51,0.32,0,0.56,0.415,0.305,0.16070004,0.793984016,0,1
SmaI_mm9_100069,chr10,94151198,160,1,NR_015524,4932415G12Rik,94151358,94136238,-,-14960,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,156,CpG_Start,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0,0,0,0,0,0,0.86,0.62,1.1,0.48,0.96,0.81,0.805,0.805,5.33E-06,5.273286585,0,1
SmaI_mm9_100070,chr10,94151528,-7,1,NM_029852,Ccdc41,94151535,94253081,+,-15290,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,-343,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0.05,0.07,0,0,0,0.02,0.22,0.31,0.48,0.32,0.29,0.18,0.3,0.28,8.63E-05,4.063978327,0,0
SmaI_mm9_100071,chr10,94151871,336,1,NM_029852,Ccdc41,94151535,94253081,+,-15633,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,0,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0.25,0.17,0,0,0.13,0.091666667,0.76,0.21,1.2,0.55,0.59,0.5,0.635,0.543333333,0.003268919,2.485595879,0,1
SmaI_mm9_100089,chr10,94405899,1313,0,NM_018797,Plxnc1,94407212,94253612,-,-152287,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-336,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,1.35,0,0,0,NA,0,0.27,0,0.15,0,0.52,0.26,0,0.155,-0.115,0.67009657,0.173862605,1,1
SmaI_mm9_100090,chr10,94406136,1076,0,NM_018797,Plxnc1,94407212,94253612,-,-152524,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-99,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,0,0.57,1.49,0.67,NA,0,0.546,2.12,1.86,2.37,2.84,2,1.55,2.123333333,1.577333333,0.000789913,3.102420962,1,1
SmaI_mm9_100109,chr10,94453729,-46517,0,NM_018797,Plxnc1,94407212,94253612,-,183651,NM_009950,Cradd,94786731,94637380,-,N,MLT1E3,LTR,MaLR,45529,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,5.95,10,9.09,12.88,6.91,8.69,8.92,1.15,4.99,1.04,6.3,7.16,4.48,4.186666667,-4.733333333,0.008465209,2.072362335,0,0
SmaI_mm9_100110,chr10,94453970,-46758,0,NM_018797,Plxnc1,94407212,94253612,-,183410,NM_009950,Cradd,94786731,94637380,-,N,N,N,N,45770,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,0.95,0.41,0.29,0.88,0,0.42,0.491666667,0.37,1.4,1.41,1.07,1,0.96,1.035,0.543333333,0.029666323,1.527736274,0,0
SmaI_mm9_100147,chr10,94878734,112,1,NM_001168655,Socs2,94878846,94874124,-,-4610,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-995,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0.3,0,0.36,0.71,0,0.228333333,0,0.14,0.61,0.39,1.08,0.33,0.425,0.196666667,0.338076732,0.470984718,0,1
SmaI_mm9_100148,chr10,94879080,-234,1,NM_001168655,Socs2,94878846,94874124,-,-4956,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-649,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0,0,0,0.3,0.05,3.01,1,1.86,1.3,1.1,1.18,1.575,1.525,0.000702456,3.153381,0,0
SmaI_mm9_100152,chr10,94880039,-548,1,NM_007706,Socs2,94879491,94874124,-,-5915,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,310,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0,0,0,0,0,1,0.36,0.79,0.27,1.65,0.58,0.775,0.775,0.003787609,2.421634821,1,0
SmaI_mm9_100153,chr10,94880288,-797,1,NM_007706,Socs2,94879491,94874124,-,-6164,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,559,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0.53,1.22,0,0,0.291666667,0.5,0.95,1.76,1.36,1.33,1.33,1.205,0.913333333,0.006945631,2.158288318,1,0
SmaI_mm9_100155,chr10,94977770,-26,1,NM_080560,Ube2n,94977796,95008292,+,-30522,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,473,CpG_Start,CpG: 141,chr10,94977297,94978527,67.7,1,0.15,0,0,0.16,0.17,0.13,0.101666667,0.73,0.34,0.36,0.23,0.36,0.4,0.403333333,0.301666667,0.002802662,2.55242925,0,0
SmaI_mm9_100156,chr10,94978079,283,1,NM_080560,Ube2n,94977796,95008292,+,-30213,NM_080560,Ube2n,94977796,95008292,+,Y,GC_rich,Low_complexity,Low_complexity,-448,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,0,0,0,0.99,0.38,0.81,0.41,0.39,0.45,0.571666667,0.571666667,0.000323433,3.490215246,0,1
SmaI_mm9_100157,chr10,94978120,324,1,NM_080560,Ube2n,94977796,95008292,+,-30172,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-407,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0.038333333,0.038333333,0.340893132,0.467381748,0,1
SmaI_mm9_100158,chr10,94978312,516,0,NM_080560,Ube2n,94977796,95008292,+,-29980,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-215,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,NA,0,0,0.67,0.46,0,0.13,0,0,0.21,0.21,0.139829141,0.85440231,0,1
SmaI_mm9_100189,chr10,95403303,6,1,NM_001001932,Eea1,95403297,95508152,+,-104849,NM_001001932,Eea1,95403297,95508152,+,Y,GC_rich,Low_complexity,Low_complexity,108,CpG_Start,CpG: 88,chr10,95403195,95403966,69.3,0.95,0,0,0,0,0.34,0.33,0.111666667,0,0,0,0,0,0.1,0.016666667,-0.095,0.21982155,0.657929734,0,1
SmaI_mm9_100190,chr10,95403675,378,1,NM_001001932,Eea1,95403297,95508152,+,-104477,NM_001001932,Eea1,95403297,95508152,+,Y,N,N,N,-291,CpG_End,CpG: 88,chr10,95403195,95403966,69.3,0.95,0.12,0,0,0,0,0,0.02,0.67,0,0,0.13,0,0.09,0.148333333,0.128333333,0.264701943,0.577242871,0,1
SmaI_mm9_100222,chr10,95998212,-81423,0,NM_007569,Btg1,96079635,96085443,+,-87231,NM_007569,Btg1,96079635,96085443,+,N,N,N,N,-80907,CpG_Start,CpG: 128,chr10,96079119,96080418,64.9,0.94,86.78,89.5,88.46,91.17,91.05,87.61,89.095,90.6,86.46,85.91,87.59,85.39,88.35,87.38333333,-1.711666667,0.141955778,0.847846925,0,0
