ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,SPFC1M1,SPFC1M2,SPFC2M1,SPFC2M2,SPFC3M1,SPFC3M2,AvgGF,AvgSPF,SPF.GF,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_100008,chr10,93498873,127,1,NM_053072,Fgd6,93498746,93608084,+,-68028,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-431,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0,0,0,0,0,0.15,0.15,0,0.16,0,0,0.13,0.025,0.073333333,0.048333333,0.270385055,0.568017317,0,1
SmaI_mm9_100009,chr10,93499189,443,1,NM_053072,Fgd6,93498746,93608084,+,-68344,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-115,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0,0,0,0.17,0,0,0.16,0,0,0.17,0.21,0,0.028333333,0.09,0.061666667,0.242950484,0.614482231,0,1
SmaI_mm9_100014,chr10,93527398,28652,0,NM_053072,Fgd6,93498746,93608084,+,-80686,NM_053072,Fgd6,93498746,93608084,+,N,Lx9,LINE,L1,28094,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,21.24,26.62,35.52,33.98,25.04,20.67,40.45,23.22,43.9,32.9,38.2,29.47,27.17833333,34.69,7.511666667,0.092917822,1.031900979,0,1
SmaI_mm9_100053,chr10,93977602,0,1,NM_172051,Tmcc3,93977602,94053699,+,-76097,NM_172051,Tmcc3,93977602,94053699,+,Y,N,N,N,160,CpG_Start,CpG: 102,chr10,93977442,93978283,74.6,0.87,0.29,0,0,0,0,0,0,0,0,0,0,0,0.048333333,0,-0.048333333,0.340893132,0.467381748,0,0
SmaI_mm9_100054,chr10,93977989,387,1,NM_172051,Tmcc3,93977602,94053699,+,-75710,NM_172051,Tmcc3,93977602,94053699,+,Y,N,N,N,-294,CpG_End,CpG: 102,chr10,93977442,93978283,74.6,0.87,0,0,0,0,0,0.66,0.43,0.31,0,0,0.5,0,0.11,0.206666667,0.096666667,0.52231477,0.282067693,0,1
SmaI_mm9_100069,chr10,94151198,160,1,NR_015524,4932415G12Rik,94151358,94136238,-,-14960,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,156,CpG_Start,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.013333333,0.013333333,0.340893132,0.467381748,0,1
SmaI_mm9_100070,chr10,94151528,-7,1,NM_029852,Ccdc41,94151535,94253081,+,-15290,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,-343,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0.05,0.07,0,0,0,0.06,0,0,0,0,0,0.02,0.01,-0.01,0.553960116,0.256521502,0,0
SmaI_mm9_100071,chr10,94151871,336,1,NM_029852,Ccdc41,94151535,94253081,+,-15633,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,0,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0.25,0.17,0,0,0.13,0,0,0,0.14,0.17,0,0.091666667,0.051666667,-0.04,0.482834909,0.316201338,0,1
SmaI_mm9_100089,chr10,94405899,1313,0,NM_018797,Plxnc1,94407212,94253612,-,-152287,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-336,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,1.35,0,0,0,NA,0,0,0,0,0,0,0.42,0.27,0.07,-0.2,0.45422353,0.342730372,1,1
SmaI_mm9_100090,chr10,94406136,1076,0,NM_018797,Plxnc1,94407212,94253612,-,-152524,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-99,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,0,0.57,1.49,0.67,NA,0,1.98,0.83,0.97,2.14,1.56,0.76,0.546,1.373333333,0.827333333,0.05126778,1.290155488,1,1
SmaI_mm9_100109,chr10,94453729,-46517,0,NM_018797,Plxnc1,94407212,94253612,-,183651,NM_009950,Cradd,94786731,94637380,-,N,MLT1E3,LTR,MaLR,45529,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,5.95,10,9.09,12.88,6.91,8.69,19.34,7.96,24.37,9.17,18.08,7.04,8.92,14.32666667,5.406666667,0.112727926,0.947968483,0,0
SmaI_mm9_100110,chr10,94453970,-46758,0,NM_018797,Plxnc1,94407212,94253612,-,183410,NM_009950,Cradd,94786731,94637380,-,N,N,N,N,45770,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,0.95,0.41,0.29,0.88,0,0.42,2.63,0.51,0.43,0.23,0.29,0.38,0.491666667,0.745,0.253333333,0.547533106,0.261589617,0,0
SmaI_mm9_100143,chr10,94850071,27846,0,NM_001168657,Socs2,94877917,94874124,-,24053,NM_007706,Socs2,94879491,94874124,-,N,B1F,SINE,Alu,-26950,CpG_Start,CpG: 210,chr10,94877021,94879729,62.7,0.79,97.21,94.97,98.3,99.2,99.01,99.1,NA,95.63,91.91,97.68,96.47,95.16,97.965,95.37,-2.595,0.049677705,1.303838476,0,0
