ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,SPFC1M1,SPFC1M2,SPFC2M1,SPFC2M2,SPFC3M1,SPFC3M2,AvgWT,SpfKoAomAnC1M1,SpfKoAomAnC1M3,SpfKoAomAnC2M1,SpfKoAomAnC2M2,SpfKoAomAnC3M1,SpfKoAomAnC3M2,AvgKO,KO.WT,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_100008,chr10,93498873,127,1,NM_053072,Fgd6,93498746,93608084,+,-68028,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-431,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0.15,0,0.16,0,0,0.13,0.073333333,0,0,0,0,0,0,0,-0.073333333,0.050688416,1.295091279,0,1
SmaI_mm9_100009,chr10,93499189,443,1,NM_053072,Fgd6,93498746,93608084,+,-68344,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-115,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0.16,0,0,0.17,0.21,0,0.09,0,0,0,0.17,0,0,0.028333333,-0.061666667,0.242950484,0.614482232,0,1
SmaI_mm9_100014,chr10,93527398,28652,0,NM_053072,Fgd6,93498746,93608084,+,-80686,NM_053072,Fgd6,93498746,93608084,+,N,Lx9,LINE,L1,28094,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,40.45,23.22,43.9,32.9,38.2,29.47,34.69,41.38,55.27,30.02,43.93,39.82,25.3,39.28666667,4.596666667,0.409528711,0.387715646,0,1
SmaI_mm9_100054,chr10,93977989,387,1,NM_172051,Tmcc3,93977602,94053699,+,-75710,NM_172051,Tmcc3,93977602,94053699,+,Y,N,N,N,-294,CpG_End,CpG: 102,chr10,93977442,93978283,74.6,0.87,0.43,0.31,0,0,0.5,0,0.206666667,0,0.38,0,0,0.28,0,0.11,-0.096666667,0.435570531,0.36094151,0,1
SmaI_mm9_100069,chr10,94151198,160,1,NR_015524,4932415G12Rik,94151358,94136238,-,-14960,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,156,CpG_Start,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0,0,0,0,0.08,0.013333333,0,0,0,0,0,0,0,-0.013333333,0.340893132,0.467381748,0,1
SmaI_mm9_100070,chr10,94151528,-7,1,NM_029852,Ccdc41,94151535,94253081,+,-15290,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,-343,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0.06,0,0,0,0,0,0.01,0,0.05,0.14,0,0.17,0,0.06,0.05,0.159118019,0.798280635,0,0
SmaI_mm9_100071,chr10,94151871,336,1,NM_029852,Ccdc41,94151535,94253081,+,-15633,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,0,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0,0,0.14,0.17,0,0.051666667,0,0,0,0,0.46,0,0.076666667,0.025,0.770577972,0.11318341,0,1
SmaI_mm9_100089,chr10,94405899,1313,0,NM_018797,Plxnc1,94407212,94253612,-,-152287,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-336,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,0,0,0,0,0,0.42,0.07,0.2,0.22,0.11,0.18,0.3,0,0.168333333,0.098333333,0.256061744,0.591655301,1,1
SmaI_mm9_100090,chr10,94406136,1076,0,NM_018797,Plxnc1,94407212,94253612,-,-152524,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-99,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,1.98,0.83,0.97,2.14,1.56,0.76,1.373333333,0.69,0.98,0.82,0.17,0.61,1.9,0.861666667,-0.511666667,0.164458745,0.783943028,1,1
SmaI_mm9_100109,chr10,94453729,-46517,0,NM_018797,Plxnc1,94407212,94253612,-,183651,NM_009950,Cradd,94786731,94637380,-,N,MLT1E3,LTR,MaLR,45529,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,19.34,7.96,24.37,9.17,18.08,7.04,14.32666667,17.82,16.78,7.42,18.42,11.11,10.61,13.69333333,-0.633333333,0.859498336,0.06575496,0,0
SmaI_mm9_100110,chr10,94453970,-46758,0,NM_018797,Plxnc1,94407212,94253612,-,183410,NM_009950,Cradd,94786731,94637380,-,N,N,N,N,45770,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,2.63,0.51,0.43,0.23,0.29,0.38,0.745,1.19,1.44,0.75,2.01,1.13,1.07,1.265,0.52,0.241199693,0.617623249,0,0
SmaI_mm9_100147,chr10,94878734,112,1,NM_001168655,Socs2,94878846,94874124,-,-4610,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-995,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0.26,0,0,0,0,0.043333333,0.3,0,0.16,0.27,0.73,0,0.243333333,0.2,0.122818157,0.910737426,0,1
SmaI_mm9_100148,chr10,94879080,-234,1,NM_001168655,Socs2,94878846,94874124,-,-4956,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-649,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0.26,0.31,0.35,0,0,0.153333333,0,0,0,0.27,0.73,0,0.166666667,0.013333333,0.925771911,0.033496,0,0
SmaI_mm9_100152,chr10,94880039,-548,1,NM_007706,Socs2,94879491,94874124,-,-5915,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,310,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0,0,0,0,0,0.24,0.24,0.09,0.16,0.45,0.21,0.231666667,0.231666667,0.000866324,3.062319849,1,0
SmaI_mm9_100153,chr10,94880288,-797,1,NM_007706,Socs2,94879491,94874124,-,-6164,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,559,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0.69,0.49,0,0.74,0.32,0.24,0.61,0.19,0.16,0.63,0.22,0.341666667,0.021666667,0.902152418,0.044720083,1,0
SmaI_mm9_100155,chr10,94977770,-26,1,NM_080560,Ube2n,94977796,95008292,+,-30522,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,473,CpG_Start,CpG: 141,chr10,94977297,94978527,67.7,1,0.14,0,0,0.15,0,0,0.048333333,0.27,0.29,0,0,0,0,0.093333333,0.045,0.514180229,0.288884627,0,0
SmaI_mm9_100156,chr10,94978079,283,1,NM_080560,Ube2n,94977796,95008292,+,-30213,NM_080560,Ube2n,94977796,95008292,+,Y,GC_rich,Low_complexity,Low_complexity,-448,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0.13,0,0,0,0,0.021666667,0.14,0,0.22,0,0,0,0.06,0.038333333,0.413238829,0.383798878,0,1
