ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,AvgWT,GfKoAomC2M1,GfKoAomC2M2,GfKoAomC3M1,GfKoAomC5F1,GfKoAomC5F2,GfKoAomC5F3,AvgKO,KO.WT,ttest2,pttest2,cgi.shore
SmaI_mm9_100008,chr10,93498873,127,1,NM_053072,Fgd6,93498746,93608084,+,-68028,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-431,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0,0,0,0,0,0.15,0.025,0,0,0,0,0,0,0,-0.025,0.340893132,0.467381748,0
SmaI_mm9_100009,chr10,93499189,443,1,NM_053072,Fgd6,93498746,93608084,+,-68344,NM_172538,Vezt,93498493,93430845,-,Y,N,N,N,-115,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,0,0,0,0.17,0,0,0.028333333,0.12,0,0,0,0,0,0.02,-0.008333333,0.814963726,0.088861721,0
SmaI_mm9_100014,chr10,93527398,28652,0,NM_053072,Fgd6,93498746,93608084,+,-80686,NM_053072,Fgd6,93498746,93608084,+,N,Lx9,LINE,L1,28094,CpG_End,CpG: 128,chr10,93498085,93499304,67.4,0.93,21.24,26.62,35.52,33.98,25.04,20.67,27.17833333,24.57,19.65,28.7,25.7,26.73,49.99,29.22333333,2.045,0.69342466,0.159000718,0
SmaI_mm9_100054,chr10,93977989,387,1,NM_172051,Tmcc3,93977602,94053699,+,-75710,NM_172051,Tmcc3,93977602,94053699,+,Y,N,N,N,-294,CpG_End,CpG: 102,chr10,93977442,93978283,74.6,0.87,0,0,0,0,0,0.66,0.11,0,0,0,0,0,0,0,-0.11,0.340893132,0.467381748,0
SmaI_mm9_100069,chr10,94151198,160,1,NR_015524,4932415G12Rik,94151358,94136238,-,-14960,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,156,CpG_Start,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_100070,chr10,94151528,-7,1,NM_029852,Ccdc41,94151535,94253081,+,-15290,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,-343,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0.05,0.07,0,0,0,0.02,0.12,0,0,0.04,0,0.06,0.036666667,0.016666667,0.493956045,0.306311695,0
SmaI_mm9_100071,chr10,94151871,336,1,NM_029852,Ccdc41,94151535,94253081,+,-15633,NR_015524,4932415G12Rik,94151358,94136238,-,Y,N,N,N,0,CpG_End,CpG: 95,chr10,94151042,94151871,71.2,0.9,0,0.25,0.17,0,0,0.13,0.091666667,0,0,0,0,0,0,0,-0.091666667,0.063461778,1.197487763,0
SmaI_mm9_100089,chr10,94405899,1313,0,NM_018797,Plxnc1,94407212,94253612,-,-152287,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-336,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,1.35,0,0,0,NA,0,0.27,0,0,0.62,0,0,0,0.103333333,-0.166666667,0.551137619,0.258739944,1
SmaI_mm9_100090,chr10,94406136,1076,0,NM_018797,Plxnc1,94407212,94253612,-,-152524,NM_018797,Plxnc1,94407212,94253612,-,N,N,N,N,-99,CpG_Start,CpG: 185,chr10,94406235,94408200,61.1,1.01,0,0.57,1.49,0.67,NA,0,0.546,0.31,0.13,0.4,0.43,0.35,0.41,0.338333333,-0.207666667,0.432085575,0.364430232,1
SmaI_mm9_100109,chr10,94453729,-46517,0,NM_018797,Plxnc1,94407212,94253612,-,183651,NM_009950,Cradd,94786731,94637380,-,N,MLT1E3,LTR,MaLR,45529,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,5.95,10,9.09,12.88,6.91,8.69,8.92,3.34,2.87,5.57,3.13,3.07,0.85,3.138333333,-5.781666667,0.000585296,3.2326241,0
SmaI_mm9_100110,chr10,94453970,-46758,0,NM_018797,Plxnc1,94407212,94253612,-,183410,NM_009950,Cradd,94786731,94637380,-,N,N,N,N,45770,CpG_End,CpG: 185,chr10,94406235,94408200,61.1,1.01,0.95,0.41,0.29,0.88,0,0.42,0.491666667,0.78,0.68,0.84,0.08,0.44,0.08,0.483333333,-0.008333334,0.968062677,0.014096523,0
SmaI_mm9_100147,chr10,94878734,112,1,NM_001168655,Socs2,94878846,94874124,-,-4610,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-995,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0.3,0,0.36,0.71,0,0.228333333,0,0,0,0,0,0.27,0.045,-0.183333333,0.174396564,0.758462075,0
SmaI_mm9_100148,chr10,94879080,-234,1,NM_001168655,Socs2,94878846,94874124,-,-4956,NM_007706,Socs2,94879491,94874124,-,Y,N,N,N,-649,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0,0,0,0.3,0.05,0,0,0,0,0,0,0,-0.05,0.340893132,0.467381748,0
SmaI_mm9_100152,chr10,94880039,-548,1,NM_007706,Socs2,94879491,94874124,-,-5915,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,310,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0,0,0,0,0,0.11,0,0.11,0,0.09,0,0.051666667,0.051666667,0.050893994,1.293333462,1
SmaI_mm9_100153,chr10,94880288,-797,1,NM_007706,Socs2,94879491,94874124,-,-6164,NM_007706,Socs2,94879491,94874124,-,N,N,N,N,559,CpG_End,CpG: 210,chr10,94877021,94879729,62.7,0.79,0,0,0.53,1.22,0,0,0.291666667,0.24,0,0.23,0.09,0.28,0,0.14,-0.151666667,0.489140582,0.310566304,1
SmaI_mm9_100155,chr10,94977770,-26,1,NM_080560,Ube2n,94977796,95008292,+,-30522,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,473,CpG_Start,CpG: 141,chr10,94977297,94978527,67.7,1,0.15,0,0,0.16,0.17,0.13,0.101666667,0.08,0.09,0,0.16,0.07,0,0.066666667,-0.035,0.412318734,0.384766933,0
SmaI_mm9_100156,chr10,94978079,283,1,NM_080560,Ube2n,94977796,95008292,+,-30213,NM_080560,Ube2n,94977796,95008292,+,Y,GC_rich,Low_complexity,Low_complexity,-448,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,0,0,0,0.08,0.1,0,0.08,0,0,0.043333333,0.043333333,0.051554887,1.287730159,0
SmaI_mm9_100157,chr10,94978120,324,1,NM_080560,Ube2n,94977796,95008292,+,-30172,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-407,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_100158,chr10,94978312,516,0,NM_080560,Ube2n,94977796,95008292,+,-29980,NM_080560,Ube2n,94977796,95008292,+,Y,N,N,N,-215,CpG_End,CpG: 141,chr10,94977297,94978527,67.7,1,0,0,0,0,NA,0,0,0.1,0.06,0,0.1,0.04,0.09,0.065,0.065,0.005644056,2.248408712,0
SmaI_mm9_100189,chr10,95403303,6,1,NM_001001932,Eea1,95403297,95508152,+,-104849,NM_001001932,Eea1,95403297,95508152,+,Y,GC_rich,Low_complexity,Low_complexity,108,CpG_Start,CpG: 88,chr10,95403195,95403966,69.3,0.95,0,0,0,0,0.34,0.33,0.111666667,0,0,0.23,0,0,0,0.038333333,-0.073333334,0.3829882,0.416814606,0
